class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
Soochi,0.3137592673301697,0.8962198495864868,3.4357435652054846e-05,0.0,0.39651617407798767,0.9125127196311951,-0.13363108038902283,0.0,0.45386406779289246,0.8754703998565674,-0.20919324457645416,0.0,0.42624807357788086,0.8066675662994385,-0.26610660552978516,0.0,0.379332959651947,0.728890061378479,-0.3035423159599304,0.0,0.42680102586746216,0.6887888312339783,-0.11837220191955566,0.0,0.4200364351272583,0.5744928121566772,-0.17596399784088135,0.0,0.4094880521297455,0.4903775453567505,-0.21426112949848175,0.0,0.3983011245727539,0.4176580607891083,-0.2531837522983551,0.0,0.3659204840660095,0.6733015179634094,-0.10079354792833328,0.0,0.3515351116657257,0.6552154421806335,-0.23162108659744263,0.0,0.3468224108219147,0.7714559435844421,-0.2646937370300293,0.0,0.3454969823360443,0.8600480556488037,-0.25892606377601624,0.0,0.3053112328052521,0.6767484545707703,-0.10370437800884247,0.0,0.2926863133907318,0.6544422507286072,-0.23614901304244995,0.0,0.29280030727386475,0.7677965760231018,-0.26954570412635803,0.0,0.29151201248168945,0.8524996042251587,-0.252029150724411,0.0,0.24240921437740326,0.6866668462753296,-0.11518047004938126,0.0,0.23200707137584686,0.6346056461334229,-0.21324631571769714,0.0,0.24054956436157227,0.7127987146377563,-0.23638002574443817,0.0,0.2473636269569397,0.7803792357444763,-0.22637970745563507,0.0
Soochi,0.31141626834869385,0.8870576024055481,5.109572521178052e-05,0.0,0.3912411332130432,0.9057517051696777,-0.14118699729442596,0.0,0.44914597272872925,0.8755965828895569,-0.2254958152770996,0.0,0.42419499158859253,0.8148077726364136,-0.29045501351356506,0.0,0.37545570731163025,0.7337824702262878,-0.33673354983329773,0.0,0.4247857630252838,0.6765483021736145,-0.13103190064430237,0.0,0.4179690182209015,0.5601712465286255,-0.18934763967990875,0.0,0.4087432622909546,0.47530823945999146,-0.22740060091018677,0.0,0.4019392430782318,0.40352174639701843,-0.2631396949291229,0.0,0.363593190908432,0.6586653590202332,-0.11166856437921524,0.0,0.35120460391044617,0.6560919284820557,-0.24673092365264893,0.0,0.3421993851661682,0.7727106809616089,-0.2848021388053894,0.0,0.33973798155784607,0.8572704195976257,-0.28065383434295654,0.0,0.30204516649246216,0.661914050579071,-0.1119435727596283,0.0,0.2893048822879791,0.6584664583206177,-0.2465643733739853,0.0,0.2838582396507263,0.7728711366653442,-0.288043349981308,0.0,0.28056731820106506,0.8542354702949524,-0.27616071701049805,0.0,0.24054309725761414,0.6704756617546082,-0.12126712501049042,0.0,0.2265932708978653,0.6373809576034546,-0.21986208856105804,0.0,0.2304219752550125,0.7212814092636108,-0.24401777982711792,0.0,0.23636022210121155,0.7875062823295593,-0.23505300283432007,0.0
Soochi,0.3001948893070221,0.8715969324111938,6.130933616077527e-05,0.0,0.3835436701774597,0.8935889005661011,-0.13374488055706024,0.0,0.44503363966941833,0.8692070245742798,-0.21938350796699524,0.0,0.42134106159210205,0.8168742060661316,-0.2828676402568817,0.0,0.3677339255809784,0.7411103844642639,-0.32493311166763306,0.0,0.4169219434261322,0.6766979694366455,-0.14167098701000214,0.0,0.4146359860897064,0.5521829128265381,-0.20719900727272034,0.0,0.40658074617385864,0.46493059396743774,-0.2475699484348297,0.0,0.4002908170223236,0.391499787569046,-0.28636398911476135,0.0,0.354172021150589,0.661098837852478,-0.12807804346084595,0.0,0.34478768706321716,0.6517661809921265,-0.2635417580604553,0.0,0.33860456943511963,0.7714796662330627,-0.2935885190963745,0.0,0.33843934535980225,0.8535741567611694,-0.28819048404693604,0.0,0.2917546331882477,0.6666944026947021,-0.13311639428138733,0.0,0.28229856491088867,0.6545421481132507,-0.2664160132408142,0.0,0.2819599509239197,0.770458459854126,-0.3012150824069977,0.0,0.28220242261886597,0.8506883382797241,-0.2878672778606415,0.0,0.22921760380268097,0.67866450548172,-0.1471027135848999,0.0,0.21851007640361786,0.6320018768310547,-0.2421521097421646,0.0,0.22759447991847992,0.7099932432174683,-0.26126396656036377,0.0,0.23823639750480652,0.7752008438110352,-0.2513507008552551,0.0
Soochi,0.3051607012748718,0.8654992580413818,4.358842852525413e-05,0.0,0.3856068253517151,0.886128306388855,-0.1322689801454544,0.0,0.443662166595459,0.8646798729896545,-0.22235868871212006,0.0,0.42349332571029663,0.8221787810325623,-0.2919861972332001,0.0,0.370069295167923,0.7524381875991821,-0.34442856907844543,0.0,0.417834609746933,0.6732136607170105,-0.16130423545837402,0.0,0.41570234298706055,0.5428932905197144,-0.22611366212368011,0.0,0.40650370717048645,0.4527401328086853,-0.26779353618621826,0.0,0.4010148346424103,0.3786931037902832,-0.3061595559120178,0.0,0.35390836000442505,0.6567844152450562,-0.15196019411087036,0.0,0.3492947816848755,0.6571244597434998,-0.2873525619506836,0.0,0.34542199969291687,0.7771995067596436,-0.32455724477767944,0.0,0.34733760356903076,0.8633245229721069,-0.3248383402824402,0.0,0.2910149395465851,0.6650120615959167,-0.15839488804340363,0.0,0.2832719683647156,0.6660619378089905,-0.28974467515945435,0.0,0.28258049488067627,0.779411256313324,-0.3299320340156555,0.0,0.28127431869506836,0.86045902967453,-0.32125139236450195,0.0,0.2298150360584259,0.6789665222167969,-0.17399366199970245,0.0,0.2168857455253601,0.6388160586357117,-0.2663521468639374,0.0,0.2230112999677658,0.7136292457580566,-0.28442466259002686,0.0,0.2310425192117691,0.7784591913223267,-0.27489960193634033,0.0
Soochi,0.29486483335494995,0.8559263348579407,8.553239604225382e-05,0.0,0.37967100739479065,0.8843451738357544,-0.12833935022354126,0.0,0.43315455317497253,0.875499427318573,-0.22261513769626617,0.0,0.4121113419532776,0.8421333432197571,-0.2960747182369232,0.0,0.3602196276187897,0.776971161365509,-0.35217639803886414,0.0,0.414675235748291,0.6768848896026611,-0.18123263120651245,0.0,0.41784465312957764,0.5399630665779114,-0.2524997889995575,0.0,0.4101403057575226,0.4472470283508301,-0.30675604939460754,0.0,0.40502554178237915,0.3757922351360321,-0.3508221507072449,0.0,0.34660908579826355,0.6517201662063599,-0.1708904653787613,0.0,0.33813542127609253,0.6777973771095276,-0.2970193326473236,0.0,0.32571321725845337,0.7974616289138794,-0.32551026344299316,0.0,0.3240164816379547,0.8831806182861328,-0.32157188653945923,0.0,0.280281662940979,0.6578444242477417,-0.17576564848423004,0.0,0.2695424556732178,0.6888900995254517,-0.30454927682876587,0.0,0.263129860162735,0.8061747550964355,-0.3547724187374115,0.0,0.2605597674846649,0.8962313532829285,-0.35688719153404236,0.0,0.21969343721866608,0.6736181378364563,-0.19077284634113312,0.0,0.2055141031742096,0.6644513607025146,-0.2871764004230499,0.0,0.20630979537963867,0.7461853623390198,-0.3091523349285126,0.0,0.2117789387702942,0.8198248147964478,-0.30628418922424316,0.0
Soochi,0.30397355556488037,0.8607155680656433,4.893874211120419e-05,0.0,0.3841407597064972,0.8915708065032959,-0.13912521302700043,0.0,0.43374431133270264,0.8798834085464478,-0.2365717738866806,0.0,0.41285669803619385,0.8467552065849304,-0.31174248456954956,0.0,0.3630486726760864,0.7831087112426758,-0.37144944071769714,0.0,0.4174688160419464,0.6794824004173279,-0.19731464982032776,0.0,0.4185519516468048,0.5373797416687012,-0.2702976167201996,0.0,0.40891700983047485,0.44655102491378784,-0.32262617349624634,0.0,0.40322259068489075,0.37751105427742004,-0.36562463641166687,0.0,0.34861212968826294,0.6546905040740967,-0.18337155878543854,0.0,0.33634790778160095,0.6726672053337097,-0.3156582713127136,0.0,0.32290080189704895,0.7897176146507263,-0.34680819511413574,0.0,0.3227761685848236,0.8752949833869934,-0.34413960576057434,0.0,0.2829500138759613,0.6627053618431091,-0.18410353362560272,0.0,0.26562222838401794,0.694506049156189,-0.32237347960472107,0.0,0.25816333293914795,0.8112938404083252,-0.37748095393180847,0.0,0.257442444562912,0.902316689491272,-0.3813212811946869,0.0,0.22466038167476654,0.6824324727058411,-0.195668026804924,0.0,0.2038450986146927,0.6736973524093628,-0.2961067855358124,0.0,0.2013077586889267,0.755358874797821,-0.32325565814971924,0.0,0.20593659579753876,0.8285885453224182,-0.32342612743377686,0.0
Soochi,0.3018958568572998,0.8619275093078613,5.6099481298588216e-05,0.0,0.38789084553718567,0.8870342969894409,-0.13880974054336548,0.0,0.4348733723163605,0.8780457973480225,-0.24061577022075653,0.0,0.4107591211795807,0.8460609316825867,-0.319301038980484,0.0,0.3617393374443054,0.781212329864502,-0.3827610909938812,0.0,0.416750967502594,0.675605297088623,-0.2022714465856552,0.0,0.41954535245895386,0.5373072028160095,-0.27529171109199524,0.0,0.40989428758621216,0.4466242790222168,-0.3315804898738861,0.0,0.4017559885978699,0.3757164478302002,-0.3758610486984253,0.0,0.34566664695739746,0.6488004922866821,-0.18800359964370728,0.0,0.33454629778862,0.6805781126022339,-0.3192501962184906,0.0,0.31995487213134766,0.7967715859413147,-0.351192444562912,0.0,0.3175510764122009,0.8782039284706116,-0.3493952751159668,0.0,0.27745530009269714,0.6566150188446045,-0.18853247165679932,0.0,0.2632707953453064,0.7069463729858398,-0.320450097322464,0.0,0.2571553587913513,0.8219001293182373,-0.3751853108406067,0.0,0.2570229768753052,0.9090331792831421,-0.38129448890686035,0.0,0.21682506799697876,0.6754253506660461,-0.20008443295955658,0.0,0.201298788189888,0.6861902475357056,-0.2939223349094391,0.0,0.2019387185573578,0.7695031762123108,-0.31646743416786194,0.0,0.20829659700393677,0.8430966138839722,-0.3176235556602478,0.0
Soochi,0.298586368560791,0.8599755764007568,4.109006476937793e-05,0.0,0.3884153962135315,0.8846314549446106,-0.13333790004253387,0.0,0.438529372215271,0.8755640983581543,-0.23122216761112213,0.0,0.4127984941005707,0.8433501124382019,-0.3072722852230072,0.0,0.35704487562179565,0.7768908143043518,-0.36393529176712036,0.0,0.4130748212337494,0.6771915555000305,-0.19511185586452484,0.0,0.4167558550834656,0.539493978023529,-0.2698889374732971,0.0,0.4096928536891937,0.44709712266921997,-0.32457342743873596,0.0,0.40316104888916016,0.37667763233184814,-0.36923694610595703,0.0,0.3419318199157715,0.6536166667938232,-0.18321582674980164,0.0,0.3278651833534241,0.684304416179657,-0.3152306377887726,0.0,0.31317099928855896,0.8013405799865723,-0.3424006700515747,0.0,0.31048208475112915,0.8817312121391296,-0.33529096841812134,0.0,0.2740819454193115,0.6627650260925293,-0.18655206263065338,0.0,0.25838983058929443,0.6999351382255554,-0.31649214029312134,0.0,0.25330036878585815,0.816386878490448,-0.369424968957901,0.0,0.2524412274360657,0.9034286737442017,-0.37587034702301025,0.0,0.2137994021177292,0.6815887689590454,-0.19993790984153748,0.0,0.19609344005584717,0.6808544397354126,-0.29432734847068787,0.0,0.19980493187904358,0.7632327675819397,-0.31686678528785706,0.0,0.20842373371124268,0.8363358974456787,-0.3166406452655792,0.0
Soochi,0.29346755146980286,0.8644744753837585,8.69913274073042e-05,0.0,0.3852503299713135,0.8878370523452759,-0.13647566735744476,0.0,0.4379590153694153,0.8752645254135132,-0.23403804004192352,0.0,0.4129192531108856,0.8445552587509155,-0.3098325729370117,0.0,0.3568029999732971,0.78167724609375,-0.36825892329216003,0.0,0.41377782821655273,0.6770783066749573,-0.18949899077415466,0.0,0.41884714365005493,0.534991979598999,-0.26424580812454224,0.0,0.4096824526786804,0.4405364394187927,-0.3193703591823578,0.0,0.4019510746002197,0.36816197633743286,-0.3649768829345703,0.0,0.34056130051612854,0.6515469551086426,-0.17752553522586823,0.0,0.32959431409835815,0.682515561580658,-0.3115164339542389,0.0,0.31769365072250366,0.8069049119949341,-0.3374420404434204,0.0,0.3186079263687134,0.8898529410362244,-0.3271978497505188,0.0,0.2710166871547699,0.6596038341522217,-0.18199093639850616,0.0,0.2586725056171417,0.688052773475647,-0.3167889416217804,0.0,0.25495582818984985,0.808647096157074,-0.3637697100639343,0.0,0.25503459572792053,0.8975322842597961,-0.36402538418769836,0.0,0.20833034813404083,0.6768884658813477,-0.19683922827243805,0.0,0.1941184103488922,0.6681137681007385,-0.2977810204029083,0.0,0.1989579051733017,0.7531323432922363,-0.3175111413002014,0.0,0.20782475173473358,0.8280687928199768,-0.3120482265949249,0.0
Soochi,0.28289809823036194,0.8622145652770996,5.625480116577819e-05,0.0,0.37380048632621765,0.8884594440460205,-0.13452714681625366,0.0,0.43325287103652954,0.8730361461639404,-0.23268575966358185,0.0,0.41113919019699097,0.8376463651657104,-0.3090328276157379,0.0,0.3542526066303253,0.7699600458145142,-0.36767807602882385,0.0,0.41208183765411377,0.6681170463562012,-0.18169735372066498,0.0,0.4192567467689514,0.5292177200317383,-0.2556641399860382,0.0,0.41127270460128784,0.43622756004333496,-0.30870768427848816,0.0,0.40490633249282837,0.3620881140232086,-0.3539354205131531,0.0,0.33968067169189453,0.644821047782898,-0.17430144548416138,0.0,0.33492130041122437,0.6649937033653259,-0.3168470561504364,0.0,0.32457399368286133,0.7897946238517761,-0.35385996103286743,0.0,0.32561764121055603,0.8761018514633179,-0.35186031460762024,0.0,0.2695278525352478,0.6520481109619141,-0.18176306784152985,0.0,0.2620236873626709,0.6840803027153015,-0.32313957810401917,0.0,0.25792405009269714,0.8065099716186523,-0.3732147812843323,0.0,0.25752896070480347,0.8972724080085754,-0.37267327308654785,0.0,0.20548659563064575,0.6695279479026794,-0.20123018324375153,0.0,0.1954609602689743,0.6600020527839661,-0.3023800849914551,0.0,0.20012202858924866,0.7461264729499817,-0.32306385040283203,0.0,0.20921112596988678,0.8190035820007324,-0.31683647632598877,0.0
